"Gene_ID","Gene","PFASdil1","PFASdil4","PFASdil7","PFASdil9","PFASdil10","PFASdil13","PFASdil16","PFASdil17","PFASdil24","PFASdil31","PFASdil34","PFASdil38","PFASdil39","PFASdil40","PFASdil45","PFASdil50","PFASdil56","PFASdil57","PFASdil61","PFASdil63","PFASdil70","PFASdil72","PFASdil74","PFASdil80","PFASdil84","PFASdil86","PFASdil87","PFASdil90","PFASdil91","PFASdil93","PFASdil95","PFASdil96"
21877,"Tk1",11.5848379651654,11.8037349605807,13.1947070232607,12.3874944098634,14.9030195057997,15.3111424004547,31.5328637011982,20.5847437671248,8.47942908759901,11.1509161129244,19.5316228586118,12.6333443770861,14.0619819030487,17.560004413118,11.1754322292796,15.8019434074177,12.234850224044,16.4612937094564,11.6917229059961,12.6271913986382,13.3870923344965,28.7548552685354,17.1880457293114,17.018199309113,17.3555033352881,18.0809166695439,21.1957344280918,13.1307612412062,16.9503097652553,16.2966849234078,34.3060231626534,22.4278965709726
57813,"Tk2",13.300227459492,20.5860107597425,19.4737404784469,18.1775220950502,19.6914108984909,20.0896265330621,17.0233829737019,17.8583436077345,15.2427099804867,16.5340782354028,19.9548732775238,17.7712070824074,17.4263496285552,17.9154665881758,18.9430565624923,18.6710976098261,19.9840646526873,19.1099904750109,21.34708560089,17.5488549495404,15.1921865285619,16.5674155413754,15.9603706774662,18.494311665369,16.7631887658589,18.9389088989711,18.9350075249634,17.720595369851,19.922485253525,17.7790673380853,19.2966599294914,17.9676005666117
110074,"Dut",8.62291934764479,8.35388023650813,6.14997791209108,6.27851342091223,7.73701673712829,7.57766768951883,7.21097942402134,5.10921272270911,6.915656399,6.92265545297948,5.22823260786582,5.39388432587458,7.85566123459727,6.90325837983153,6.51408333676893,5.50336476656936,7.5823901241046,6.3278403695045,5.97925276911458,3.97863410830341,8.88815300628171,6.19495201226838,6.42590440347491,8.19479485931645,7.00233069242773,7.9872209107081,5.756687873816,6.40715374277566,8.51752172956297,7.87967531379353,6.68918435082712,6.61489243699871
16434,"Itpa",20.8819225352248,28.28087169,19.601250683734,18.5548238722864,21.2337584056532,21.3029436392898,19.8785918814678,23.3731449955436,25.3492599738368,24.0393930894181,20.23901768,23.4547409857495,24.3861847787532,25.4319842449167,22.8710493664281,19.2588902380565,25.390845955932,27.3828749848966,26.4793589107461,29.6234740119539,21.9971936948657,24.2420537454773,17.65678832,26.5731223528591,23.4925001673726,29.1022348298526,23.0623160519477,26.6438672641344,22.6596106360353,25.1438746890168,21.9240182752719,29.7279641203402
13595,"Ebp",265.850091175628,207.654648605238,209.248494743801,234.365078868775,217.350812147561,251.895509435642,179.602157470103,225.034814145468,209.28732338561,222.823579127047,209.4984157,223.520074994913,231.906959565141,196.823749911671,194.366930030513,210.801603601931,199.895243480672,177.321627396478,232.709825282466,196.349253710686,285.114312521661,236.118070523505,218.592575753739,232.753540534778,279.310820134716,205.879782802691,191.225744722288,198.610907356143,197.647625394774,230.801189404487,192.688668790838,206.181546871417
93747,"Echs1",80.5725418039651,78.90000401,83.7323848983914,77.5258719345276,90.14205136,82.8335679875684,71.3553684576079,77.1859521933089,69.8285004810442,82.5758189889569,79.9217730932275,88.0291802573273,79.4727658847187,81.2470911770305,80.6762826754488,73.9427168624913,79.3244405984728,70.9180368196465,85.0639027230814,64.0824900546149,80.9746477806072,83.4336678357572,82.1385079788629,77.0199783857754,77.91796187,83.88012708,75.5008287145693,77.3324137895942,76.2097235814693,75.3045129280407,79.4033450665944,74.616061955419
11992,"Auh",28.3651123418268,26.9739486277468,28.3863549977508,26.1899192346757,32.1781858344594,29.1336123900367,35.8837320007986,30.0844616210992,28.3632586459164,23.8895069762236,25.8928342633823,30.709430371995,29.1715068034052,28.2862334063641,30.1752549499417,30.9867705807972,28.0251363591999,30.73972857,30.8460489277347,26.5699307590502,31.5067699,29.0836051931575,26.1449689005562,34.3409105408714,31.7661443670162,30.0540529700563,33.1581721227863,28.7554103268934,32.5941556290973,26.8767244474496,36.4805144301,32.2348990146617
51798,"Ech1",258.830621675644,271.758498219318,599.449568828423,577.700191640948,744.33051381647,469.58251509063,248.716546280261,393.729435329568,602.776741711151,420.848780576061,482.36841559857,1034.67069938089,972.777839823997,292.388560403949,462.479817896065,406.818813055835,460.901183908037,241.558773215083,313.2202396,160.958211469812,907.230715,178.188332734453,487.344446496238,268.184126198297,225.863066619322,276.66953996575,203.51830790704,284.121450633397,193.599844615192,590.438732310514,302.213702075078,295.079986651874
74147,"Ehhadh",64.1461356589703,66.0296795009742,569.330169945473,455.231980540042,1393.89906306499,160.670362026697,111.043599753017,91.459307930143,694.5425731,120.732144048585,149.890656316842,3852.53633307406,3333.10977476974,95.5709442102804,190.465644849884,85.4864479539796,155.009728972998,65.9438581262153,68.05450248,47.0021656682933,2615.07877711215,78.7563511073591,257.811034145398,151.880077976022,84.9446750639578,77.1979481636442,76.2933384007437,80.5379573355308,59.248134698086,377.495631938114,90.3133606620115,81.0950048
26458,"Slc27a2",770.420552525005,677.887165913485,1357.05463963743,1199.57603440037,1554.92242413581,1036.36022512166,927.5173667,1074.89205716577,1310.17564354344,804.199937093065,720.8073248,2004.08989653541,1560.04676040659,945.830416505266,920.442376772178,883.129437629352,911.08966925309,638.066159222626,618.65304108867,604.646832286668,1514.73195274256,562.77073867558,997.969017953084,825.057038331062,575.284295709436,679.136012274496,704.971117936474,677.619441590975,713.746628797156,1109.57575618689,830.550386275684,850.7693328
108115,"Slco4a1",0.078137957,0.0254061698471017,0.101137822713991,0.075345776,0.102549261557429,0.099693212,0,0.0498593251984811,0.176187634545237,0.100780541072222,0.268799087082024,0.105274705627904,0.179533578137696,0.108502435008358,0.109146859577605,0.102888892677709,0.27371892291027,0.463736222048047,0.279464801329998,0.108713741887449,0.053331477,0.240351612107184,0.02691734390418,0.185917113190719,0.218188351328728,0.300088143861933,0.135962343487084,0.054709861,0.107289676789871,0.188393892046711,0.390807942030785,0.0538927186599077
58807,"Slco1c1",0.237874962640721,0.04640632,0,0.068812422,0,0,0.04605028,0.068303914,0,0.0230104244649619,0,0,0,0.099094014,0,0,0.074995294,0.099677832,0,0.049643499,0.0243535092683192,0.048780075,0,0.072769689,0.0249086109479526,0.049830367,0.0248345658922133,0.0249829402735664,0.0244966039810634,0,0.071384071,0.073829391
