Gene,PFASdil17,PFASdil31,PFASdil50,PFASdil56,PFASdil4,PFASdil63,PFASdil84,PFASdil86,PFASdil7,PFASdil9,PFASdil24,PFASdil93,PFASdil1,PFASdil57,PFASdil72,PFASdil87,PFASdil13,PFASdil34,PFASdil45,PFASdil74,PFASdil40,PFASdil61,PFASdil90,PFASdil91,PFASdil10,PFASdil38,PFASdil39,PFASdil70,PFASdil16,PFASdil80,PFASdil95,PFASdil96
Acadm,5021.385656,4878.415087,5762.355034,5100.721113,6465.973263,5501.242292,7051.367587,7880.903858,5916.629122,5537.78548,6931.718044,6126.642175,7335.948429,6441.692636,5561.362477,7297.333015,5469.603233,4859.452637,4605.676964,5600.522949,8129.16204,6646.138359,7146.776619,6455.434875,7359.099823,10098.08093,9282.27984,8473.93777,6463.412528,7558.032422,6951.953117,6395.413719
Acads,2711.508685,2557.181068,2313.698368,2687.004444,1849.866654,1574.935484,1842.093579,1740.749966,3080.326266,2951.234457,3058.711794,3065.386712,1851.324429,1599.050812,2034.594505,1731.714072,2773.64956,3439.270933,2556.207019,2786.184569,1991.254861,1745.189043,1777.488239,1670.703793,3106.457432,3890.02076,3632.749014,3859.576205,1883.518638,1954.054024,1997.879245,1767.167357
Acadsb,1635.214832,1460.446956,1667.075244,1235.651154,1539.90361,1905.892574,1590.113872,1826.896296,1325.234822,1277.35679,1701.554366,1269.326236,1788.005515,1316.225499,1440.612531,1873.553733,1350.785122,1094.043943,1210.538566,1240.853157,1757.351663,1149.902103,1476.927517,2025.850159,1171.316657,1326.541881,1159.429583,1088.818031,1950.855872,1743.007619,1718.717807,1871.300322
Acadvl,5277.59899,4628.479082,5368.319067,5237.365,2610.357378,2377.637759,2487.283552,2420.018725,5834.975135,5960.355173,6569.809397,5778.584452,2724.723413,2703.651776,2259.400183,2407.04022,5017.469336,4848.581378,4737.053243,5164.660243,3003.809497,2533.666932,2561.732769,2300.872041,6763.119547,8709.205216,7553.889028,7598.172629,2293.313807,2662.184347,2191.625615,2323.917866
Acat1,7206.618303,7493.417172,8974.141075,8012.211943,6252.423142,5660.942221,6431.578794,7191.733223,8793.289697,8708.987722,10018.64315,8294.515055,7328.912994,6425.87024,5576.830758,6597.661254,7057.220397,8271.051275,7014.554871,8242.81026,7267.413414,6177.488547,6209.266025,6152.261147,8910.084638,11699.28126,10884.56069,9639.840263,4937.743192,5752.889313,4820.743036,6055.177297
Acat2,1105.971072,1451.120986,1209.05053,1445.497124,1111.001259,843.6779146,2457.818184,710.9547644,1962.511341,1871.65572,1110.04776,1421.149635,1773.934646,938.4658138,1505.57931,975.9415492,1609.147349,1315.422302,1353.175669,2294.014241,861.7486262,1179.481578,841.968113,699.4651005,1955.784671,1646.976741,1977.677948,2649.778393,621.4264761,1177.360401,619.7800576,488.7032247
Acat3,3732.405059,3760.231243,4021.187557,3628.87124,2836.522273,2768.482322,2695.573229,3201.276815,3117.868329,2967.635564,3440.077895,3211.013237,3297.608823,2866.820226,2572.89067,3000.861488,3961.554148,3936.383944,3755.484762,2966.577507,3472.641785,3018.03084,3629.61904,3285.103893,3477.149984,3507.252067,2753.889659,3356.385965,3194.670785,3570.64806,3099.941935,2975.522166
Ace,47.4835523,38.23647841,46.02699326,52.70549944,73.88653951,59.88747339,51.81840734,74.26407706,49.74323342,62.71011432,43.77927186,40.27967714,43.21767125,79.11197588,41.24874821,52.9252467,40.25208609,81.04029209,102.2858168,54.22215478,84.12308017,73.94868828,114.4519303,49.80711242,51.16095742,91.55281708,115.3564003,35.33037857,80.80468111,46.06596657,26.04117889,60.83014822
Ace2,1.978481346,11.19116441,3.367828775,8.784249907,7.208442879,9.455916851,8.128377622,1.980375388,2.815654722,6.753396927,7.782981663,3.098436703,4.020248488,0.988899698,2.062437411,7.409534538,1.872190051,3.95318498,8.445617905,10.42733746,6.15534733,9.243586035,9.952341761,6.496579881,2.69268197,4.869830696,6.84317629,5.353087663,4.809802447,10.71301548,5.208235778,0
Acer2,325.4601814,424.3316507,297.4915418,293.784358,436.1107942,357.2235255,307.8623024,310.918936,524.6503299,464.054846,454.3315546,364.5827188,207.0427972,372.8151863,235.1178648,382.1202812,352.9078246,416.0727192,391.3136296,300.3073188,271.8611737,620.2446229,373.2128161,362.72571,432.6242365,386.6645572,437.9632826,420.7526903,355.9253811,424.235413,367.7014459,447.4624463
