Gene,GRC362.01_S14,GRC362.02_S9,GRC362.03_S13,GRC362.04_S12,GRC362.09_S20,GRC362.10_S6,GRC362.11_S3,GRC362.12_S17,GRC362.13_S16,GRC362.14_S19,GRC362.15_S11,GRC362.16_S18,GRC362.17_S5,GRC362.18_S15,GRC362.19_S8,GRC362.20_S2,GRC362.21_S10,GRC362.22_S7,GRC362.23_S1,GRC362.24_S4
Sdhc,1757.846195,1582.790254,1110.787192,1395.684208,1712.398113,1565.504879,1082.328492,1446.468743,1479.47239,1450.869177,1185.623616,1524.118717,1668.480284,1652.919637,1097.366754,1491.782433,1465.191017,1684.514607,1190.408314,1722.604094
Sdhd,4463.72436,4830.010491,5587.864385,4613.626731,4164.291873,4028.627644,4332.231294,3423.476194,3577.159775,3310.31146,3603.764916,3328.31463,4616.001519,4253.458206,4703.832026,4188.275696,5103.131864,5670.634403,4034.682246,4890.245155
Sdr42e1,2520.701827,2077.731113,1370.413414,2252.973915,2120.860049,1968.460277,1391.565203,1733.760458,1868.14734,1835.971062,1132.535991,1761.9925,1850.791345,1777.687745,1147.820397,1504.65116,1409.674864,1338.515842,871.7163242,1479.732858
Sdr9c7,888.6692206,852.1146756,770.0277743,786.8842718,827.0232042,843.8904998,723.4972127,806.8192433,811.1057888,707.6138468,771.540144,842.1499266,716.835637,743.4529374,637.4623847,770.1438175,609.5891305,387.0192374,371.8073211,446.357947
Sds,1316.612624,1759.336169,1483.999887,1512.681475,1964.881453,1446.007761,1802.908377,1472.49517,1609.673676,1410.881171,2001.403447,1317.897493,1419.353652,1241.494226,1091.545179,990.8919811,716.2672283,557.3433719,1083.136173,897.404528
Sdsl,109.8653872,124.5005873,69.33200266,74.54693101,102.1154838,81.51741381,57.37410692,81.0823309,97.40985098,62.58992257,68.12911822,78.65181547,60.13401483,76.30446236,39.78075765,59.39412474,77.28719333,71.3399516,61.4471483,77.8313227
Sec11a,605.1456407,690.87621,455.8210388,492.8380439,639.6244591,553.021546,447.3235455,634.6444172,609.5349091,556.3548672,491.9453212,631.1328607,588.931542,747.5775029,522.0011613,672.1435116,846.8934706,733.0180027,561.3561514,649.8446582
Sec11c,281.7515575,270.4316036,271.4274147,196.721068,209.8417085,201.0145318,264.5043573,242.2459763,255.5803021,216.4568155,245.0878669,237.8737834,254.8536819,338.2143737,306.6029126,259.3543447,333.0969177,535.049637,343.6874396,362.9002637
Selenoi,2495.007503,2169.575809,2786.556447,2071.783458,2469.848131,2751.212716,2911.492816,2940.986274,2397.63257,2760.041724,2618.98948,2735.548509,2515.129033,2843.887935,3136.85828,3378.535796,2964.127147,2204.404505,2797.407463,2286.177888
Setd1a,148.8498794,198.9968404,233.0735409,161.5183505,147.0014108,150.0661482,291.7327471,214.2175162,188.0685242,191.2469856,160.1476675,153.466957,123.1315542,151.5777833,253.2384816,153.4348222,109.9437539,107.9016768,256.2033641,130.3440224
Setd1b,286.1816134,273.4930935,452.8707408,368.5931589,304.1021551,370.5336991,532.8984846,513.521429,425.3242008,411.1810191,433.5489342,370.2390338,251.9901574,242.3182251,306.6029126,284.1018967,151.3087306,115.9274214,317.6505124,134.0949295
Setd2,562.6171038,526.5762546,952.9462494,644.002654,447.7371214,652.1393105,937.4345606,691.7023537,646.1841599,699.7901065,966.1947675,703.0704968,530.7065435,485.6675915,855.7714206,558.3047726,438.6864635,454.7921915,772.7760006,356.3361762
Setd7,62.02078309,71.43476322,116.5367704,71.44080889,58.35170504,83.37008231,137.1143911,75.07623231,70.40513982,106.0551466,84.0554056,72.89680458,46.77090042,49.4947864,84.4128272,54.44461435,27.21380047,36.5617252,69.77896502,36.5713444
Setdb1,613.1197414,584.7445618,795.1053071,586.0217077,608.2043103,548.3898747,691.4066105,630.6403514,606.6415472,591.1270464,652.9777825,516.9918114,529.7520354,549.5983573,678.2134048,544.4461435,490.9369604,529.6991407,643.6328415,541.0683518
Setdb2,499.7103095,455.1414914,699.2206226,527.0053873,473.5465294,518.7471788,598.0521315,633.6434007,682.8334108,680.6654079,622.8947952,642.6428825,569.8413786,556.816347,574.3953299,528.6077102,545.3645614,515.4311503,572.8123994,409.7866026
Setmar,54.04668241,42.86085793,22.12723489,36.23809147,39.27518609,49.09571514,28.20083222,33.03354222,38.5781588,33.90287472,26.5438123,37.40757077,46.77090042,43.3079381,39.78075765,52.46481019,51.16194488,45.47921915,30.2028356,43.13543186
Sgms1,499.7103095,474.5309271,597.4353421,504.2271584,433.1491951,477.9884719,593.189919,652.6627129,595.0680995,595.4735688,642.3602575,651.2753988,529.7520354,441.3285121,574.3953299,510.7894728,582.37533,550.2093767,650.9231811,482.9292914
Sgms2,1121.690163,1213.370478,1540.055549,1386.365842,1462.159071,1423.775739,1489.781895,1888.918005,1666.57646,2000.269609,1599.707088,1811.869261,1445.125372,1200.24857,1179.839056,1250.246326,1195.230117,819.517694,1113.339009,943.3531402
Sgpl1,1992.63916,1872.611293,2525.455076,2163.931747,2453.015908,2232.465537,3284.910732,2720.762659,2495.042421,2914.777922,3847.967989,3195.94938,3074.470821,2736.649231,5553.781872,4449.609845,3713.050936,3184.43709,5607.312651,3260.476012
Sgpp1,932.0837688,927.6314253,1107.836894,942.1903781,843.8554268,927.2605821,1046.348119,1087.103844,1068.614999,1019.694155,940.535749,1145.247167,961.189729,841.4113688,952.7976587,882.9926545,954.6601204,847.1619253,952.9515372,734.2400683
Sgpp2,1.772022374,2.040993235,1.475148993,2.070748084,5.61074087,6.484339735,4.862212451,2.002032862,1.92890794,2.60791344,2.65438123,0.959168481,0.954508172,6.1868483,2.910787145,2.969706237,3.265656056,1.78349879,4.165908359,3.750907118
Sgsh,131.1296557,142.8695264,193.2445181,129.4217552,158.2228925,132.4657974,167.2601083,137.139251,136.9524638,133.8728899,186.6914798,138.1202613,113.5864724,122.7058246,148.4501444,114.8286412,85.99560948,62.42245765,170.8022427,122.8422081
