Gene,P01_A02,P01_A03,P01_A04,P01_A05,P01_A06,P01_A07,P01_A08,P01_A09,P01_A10,P01_A11,P01_A12,P01_B02,P01_B03,P01_B04,P01_B05,P01_B06,P01_B07,P01_B08,P01_B09,P01_B10
Slc25a20,177.2534135,154.6675913,185.8155619,134.6428906,160.1646315,154.8438798,201.1575541,225.4860799,183.8206057,241.0943858,161.8707652,152.1555332,160.4632236,136.8888324,180.44093,163.1457418,224.5486316,272.1922205,252.4421239,329.4117333
Slc25a21,111.6040011,132.9374339,113.5539545,108.17463,104.2034952,122.6572306,130.3798962,123.2413797,122.5470705,106.5707067,127.4457608,97.09925475,110.7071852,106.6927664,69.2893171,143.7035031,97.37064555,74.41226171,67.96518719,79.70950584
Slc25a22,193.6657666,244.1447103,326.584927,234.7619631,236.3875586,259.2330122,271.003927,311.2985961,245.9451622,211.3943527,277.5973755,269.2752529,213.9509647,202.3136419,217.9726434,434.4917682,216.6000074,235.9651983,272.83168,412.3746884
Slc25a26,3.282470621,12.78244556,6.569237037,9.206351492,3.859388712,6.959275495,8.381564753,5.477394653,4.255106613,6.988243065,8.056915913,7.007162714,12.43900958,10.06535532,12.99174696,14.37035031,8.942202142,4.895543534,6.796518719,8.946985349
Slc25a27,1.094156874,1.278244556,2.815387302,1.150793937,1.929694356,0.869909437,3.72513989,1.825798218,0,0.873530383,0.732446901,5.005116224,1.243900958,4.026142128,4.330582319,0,0,0,0,0.813362304
Slc25a28,89.72086363,126.5462111,92.90778095,110.4762179,107.0980368,112.2183174,99.64749206,113.1994895,102.97358,101.3295244,122.3186325,113.1156267,114.4388881,103.6731598,92.38575614,133.5597264,111.2807378,81.26602266,104.8605745,127.6978818
Slc25a29,3.282470621,3.834733669,3.753849736,6.904763619,10.61331896,2.609728311,8.381564753,13.69348663,4.255106613,7.861773449,2.929787605,10.01023245,9.951207662,4.026142128,4.330582319,0,4.967890079,2.93732612,1.941862491,2.440086913
Slc25a31,10.94156874,37.06909213,2.815387302,4.603175746,1.929694356,3.479637748,11.17541967,7.303192871,3.40408529,0.873530383,0.732446901,6.006139469,11.19510862,7.045748724,12.99174696,1.690629448,7.948624126,11.74930448,23.30234989,12.20043457
Slc25a37,82.06176552,94.59009717,125.7539661,72.500018,103.238648,95.69003806,126.6547563,143.3251601,132.7593263,146.7531044,131.1079953,113.1156267,108.2193833,142.9280455,181.8844574,195.2677013,211.6321174,279.0459814,305.8433424,209.8474745
Slc25a4,35.01301995,33.23435847,29.09233545,17.26190905,12.54301331,23.4875548,29.80111912,23.73537683,15.31838381,18.34413805,20.50851323,28.02865085,19.90241532,23.15031724,28.87054879,33.81258897,25.83302841,22.51950025,12.62210619,28.46768066
Slc25a5,377.4841214,387.3081006,543.3697492,323.3730962,389.7982599,461.921911,513.1380199,606.1650083,536.9944546,576.5300529,361.0963223,334.3417638,406.7556132,315.0456215,544.2098448,554.526459,619.9926819,636.4206594,617.5122722,414.001413
Slc26a1,456.2634163,577.7665395,448.5850434,493.6905988,596.275556,539.3438509,585.7782477,496.6171152,443.3821091,477.8211196,550.0676228,561.5740403,480.1457697,523.3984767,422.9535398,1093.837253,637.8770861,633.4833333,640.8146221,1411.996961
